trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,0,-156.5561078454966,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.17499999999999927}",35,0,-215.97935646433936,"{0: 23, 1: 1, 2: 7, 3: 0, 4: 4}",0
165,False,"{'a': 0.5, 'e': 0.16999999999999926}",30,0,-166.62811044754207,"{0: 15, 1: 1, 2: 12, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,0,-114.16582060343188,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,23,-31.630334490617127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,0,-126.42543879778451,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,0,-192.17487393357106,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 5}",0
170,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,0,-221.61482805355544,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
171,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,0,-55.979240807695604,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,1,-126.8075798536232,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 3}",1
173,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,0,-155.19946217308475,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,0,-136.73264555660705,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,0,-139.05608169346044,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
176,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,2,-79.21517934319193,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
177,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,16,8.543787965638966,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,0,-51.25836858494454,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,0,-160.71662869807827,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,0,-145.40149190073424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
181,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,0,-192.3265334137878,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 5}",0
